Marque,Secteur,Presence_Afrique,Potentiel_RDC,Source
McDonalds,Restauration rapide,Afrique francophone multiple,Potentiel Kinshasa/Lubumbashi,CamerounFranchise
KFC,Restauration rapide,Afrique francophone etabli,Deja present Kinshasa,Multiple
Rocomamas,Restauration rapide,RDC Lubumbashi,Ouvert mars 2024,PetitFuté
Cache Cache,Mode femme,Afrique via CFAO,Potentiel centre commercial,LeMoci
Bonobo,Mode homme,Afrique via CFAO,Potentiel centre commercial,LeMoci
Kaporal,Mode jeans,Afrique via CFAO,Potentiel centre commercial,LeMoci
LC Waikiki,Mode famille,RDC present,Deja Lubumbashi,Yandex Maps
Afrik'N'Fusion,Restauration africaine,International expansion,Concept adapté,Toute-La-Franchise
Carrefour,Supermarché,Partenaire Hyper Psaro,Expansion prévue,PetitFuté
Pep,Mode discount,Afrique du Sud regional,Potentiel si partenariat,Analyse
MisterPrice,Mode,Afrique du Sud regional,Potentiel,Analyse
