Entite,Type,Valeur,Source,Date
Immorose,Nom_Complet,IMMOROSE SARL,LinkedIn,2025
Immorose,Slogan,L'excellence de l'immobilier à Kinshasa,LinkedIn,2025
Immorose,Positionnement,Premier promoteur et revendeur d'immobilier haut de gamme en RDC,LinkedIn,2025
Immorose,Devise,L'intégrité est au cœur de notre façon de travailler,Profil public,2025
Immorose,Siège,Kinshasa RDC,Etude,2025
Immorose,Bureau_Lubumbashi,Ouvert 2025,Instagram,2025
Immorose,Instagram,@immo.rose - 4100 followers,Instagram,2025
Immorose,Facebook,ImmoRose SARL - 3000+ likes,Facebook,2025
Immorose,LinkedIn,IMMOROSE_RDC - 1200 abonnés - 2 employés,LinkedIn,2025
Immorose,Email,sales@immorose.com,YouTube,2025
Immorose,Site_Web,imorose.com (inactif),Etude,2025
Immorose,Creation,Milieu années 2020,Etude,2025
MiroirMall,Nom_Projet,Miroir Mall,Officiel,2025
MiroirMall,Type,Centre commercial nouvelle génération,Immorose,2025
MiroirMall,Localisation,Lubumbashi - Lac Kipopo - Quartier Golf,Etude,2025
MiroirMall,Surface_m2,30000,Immorose officiel,2025
MiroirMall,Surface_alt_m2,17500,YouTube sources,2025
MiroirMall,Enseignes,100,Immorose,2025
MiroirMall,Parkings,350,Immorose,2025
MiroirMall,Bureaux_m2,1000,Instagram,2025
MiroirMall,Emplois,1000+ directs et indirects,Immorose,2025
MiroirMall,Frequentation_Jour,10000-15000 visiteurs,Immorose,2025
MiroirMall,Ouverture_Prevue,Décembre 2026,Instagram,2025
MiroirMall,Instagram,@miroirmall,Instagram,2025
MiroirMall,Concept,Shopping + loisirs + restauration + bureaux,Etude,2025
MiroirMall,Environnement,Bord lac Kipopo - espaces verts - éco-integré,LinkedIn,2025
9Carats,Nom_Projet,9 CARATS,Facebook,2024
9Carats,Type,9 villas de luxe,Etude,2024
9Carats,Localisation,Kinshasa - quartier prisé,Etude,2024
9Carats,Caracteristiques,Piscine privée - 2 salons - bureau - 4 chambres - rooftop,YouTube,2024
9Carats,Slogan,Nous bâtissons vos rêves pierre après pierre,Facebook,2024
9Carats,Statut,En cours/Livré,Etude,2024
WaterfrontVillas,Nom_Projet,Waterfront Villas,YouTube,2025
WaterfrontVillas,Type,~20 villas de luxe,YouTube,2025
WaterfrontVillas,Localisation,Bord du fleuve Congo - Kinshasa,YouTube,2025
Equipe,Amal_Jafar,Sales Manager MiroirMall,Instagram/Etude,2025
Equipe,Mr_Manoj,Partenaire technique/construction,Instagram,2025
Partenaire,FONAREV,Mémorial national - collaboration gov,LinkedIn,2025
Partenaire,Prestige_Constructions,Construction (non confirmé),Instagram,2025
Partenaire,Kivubrand,Agence branding,Threads,2025
Evenement,ExpoBeton_2025,Présentation maquette MiroirMall - Lubumbashi Oct 2025,Instagram/Facebook,2025
Evenement,KBM_2025,Katanga Business Meeting - Kolwezi,Instagram,2025
Evenement,DRC_Mining_Week_2025,Présence stand MiroirMall,LinkedIn,2025
