Type,Chambres,Surface_m2,Prix_USD_Mois,Quartier,Ville,Annee,Source
Villa,3,,1600,Non specifie,Lubumbashi,2024,Zwandako
Villa,4,,6000,Golf Kabulameshi,Lubumbashi,2024,Zwandako
Villa,4,,3500,Lido Golf,Lubumbashi,2024,Wakati Immo
Villa,4,,3000-4000,Quartiers chics,Lubumbashi,2022,MyBusinessMag
Maison,14 pieces,300,5000,Non specifie,Lubumbashi,2024,Immo-Katanga
Appartement,3,,2200,Non specifie complexe 4 apparts,Lubumbashi,2024,Zwandako
Appartement,3,150,2000,Meuble,Lubumbashi,2024,Zwandako
Appartement,3,,1300-1500,Non meuble,Lubumbashi,2024,Zwandako
Appartement,2,,2500,Kabulameshi meuble,Lubumbashi,2024,Wakati Immo
Appartement,2,,5000,Kabulameshi luxe meuble,Lubumbashi,2024,Wakati Immo
Appartement,1,,1600,Kabulameshi meuble,Lubumbashi,2024,Wakati Immo
Appartement,3,,800,CRAA non meuble,Lubumbashi,2024,Wakati Immo
Appartement,9 pieces,145,2500,Non specifie,Lubumbashi,2024,Immo-Katanga
Appartement,8 pieces,150,2500,Non specifie,Lubumbashi,2024,Immo-Katanga
Appartement,,250-500,,Moyenne ville,Lubumbashi,2022,MyBusinessMag
Local_Commercial,,150,5300,Gombe,Kinshasa,2024,Immo24
Local_Commercial,,120,,Gombe,Kinshasa,2024,Alain Realty
Loyer_m2_Commercial,,1,35.33,Gombe,Kinshasa,2024,Calcul Immo24
